document_id,clean_text,label
Doc_11,everywhere across the globe banks are increasingly viewing artificial intelligence as a revolutionary force that is likely to transform fraud detection customer service automation targeted financial advisory services and risk management operations even with huge investments in ai technologies many banking organizations face great challenges in deploying machine learning systems at scale in production environments the main constraint often arises not from algorithmic constraints or lack of data science talent but from substandard technological infrastructure unable to accommodate the scale of modern ai workloads legacy banking platforms built many years ago run on batch processing architectures that are inherently incompatible with real time data streaming demands necessary for today s machine learning use cases mainframe environments using inflexible data schemas cannot support heterogeneous unstructured data sources required for training advanced neural networks while limitations of aging hardware constrain the computation of intricate algorithms at the enterprise level data fragmentation within departmental silos hinders accessibility undermining model precision and predictive power infrastructure modernization is an unavoidable requirement for the effective implementation of ai involving the adoption of cloud computing for computational elasticity containerization technologies for standardized deployment across environments single unified data platforms tying together dissimilar information sources and compliance aware architectures meeting very stringent regulatory requirements banking organizations are required to address systematic infrastructure constraints through in depth transformation programs combining technical upgrades with organizational change management skills development initiatives and cross functional collaboration models only by conscious infrastructure development can financial services companies release the full transformative power of artificial intelligence and realize enduring competitive gains in ever more digital banking environments,Machine Learning
Doc_12,communities of practice operate by developing sharing and formalizing concepts together collective meaning making thereby enabling all their community members to work together effectively in the context of wikipedia these concepts include article quality vandalism and other subjective aspects of collective work ai and machine learning have proven to be powerful tools for facilitating collaboration at scale by modeling and applying shared concepts we examine meaning making in parallel with aligning ai behavior we describe a case study of modeling the quality of articles in dutch wikipedia using an ai model while engaging in a meaning making process with dutch wikipedians this case blurs the line between social governance and how meaning is reshaped in an ai model based on the case study we present the collective meaning cycle a framework that describes the bidirectional relationship between modeling and meaning making we also provide implications for the practice of participatory ai design,Machine Learning
Doc_13,the use of data driven automation is not new but it has gain a lot of attention recently with the wide spread understanding that it is the solution to all problems in terms of fair and non bias classification this is not different in the law area where artificial intelligence became a magic word however using historic data is a very tricky job which can quite easily propagate discrimination in a very efficient way thus this work is aimed to analyse data from legal proceedings looking for evidence related to the occurrence of bias in the judges decision making process considering mainly the gender or social condition of the convicts supervised and unsupervised machine learning techniques preceded by data analysis and processing procedures were used to explain and find explicit data behaviour our results pointed to the fragility of the techniques to identify biases but suggest the need to improve data pre processing and the search for more robust classification techniques,Machine Learning
Doc_14,at the end of the world health organization who referred that the public health commission of hubei province china reported cases of severe and unknown pneumonia a new coronavirus sars cov was identified as responsible for the lung infection called covid coronavirus disease an early diagnosis of those carrying the virus becomes crucial to contain the spread morbidity and mortality of the pandemic the definitive diagnosis is made through specific tests among which imaging tests play a very important role achieving this goal cannot be separated from radiological examination and chest x ray is the most easily available and least expensive alternative the use of x ray chest radiographs as an element that assists the diagnosis and that allows the follow up of the disease is the subject of many publications that adopt machine learning approaches this work focuses on the most adopted convolutional neural network techniques applied on chest x ray images,Machine Learning
Doc_15,in the last decade deep learning algorithms have become very popular thanks to the achieved performance in many machine learning and computer vision tasks however most of the deep learning architectures are vulnerable to so called adversarial examples this questions the security of deep neural networks dnn for many security and trust sensitive domains the majority of the proposed existing adversarial attacks are based on the differentiability of the dnn cost function defence strategies are mostly based on machine learning and signal processing principles that either try to detect reject or filter out the adversarial perturbations and completely neglect the classical cryptographic component in the defence in this work we propose a new defence mechanism based on the second kerckhoffs s cryptographic principle which states that the defence and classification algorithm are supposed to be known but not the key to be compliant with the assumption that the attacker does not have access to the secret key we will primarily focus on a gray box scenario and do not address a white box one more particularly we assume that the attacker does not have direct access to the secret block but a he completely knows the system architecture b he has access to the data used for training and testing and c he can observe the output of the classifier for each given input we show empirically that our system is efficient against most famous state of the art attacks in black box and gray box scenarios,Machine Learning
Doc_16,in biomaterials development creating materials with desirable properties can be a time consuming and resource intensive process often relying on serendipitous discoveries a potential route to accelerate this process is to employ artificial intelligence methodologies such as machine learning ml herein the possibility to predict anti inflammatory properties of the polymers by using a simplified model of inflammation and a restrained dataset is explored cellular assays with different polymers are conducted using the murine macrophage cell line raw as a model these experiments generate a dataset which is used to develop a ml model based on bayesian logistic regression after conducting a bayesian logistic regression analysis two ml models k nearest neighbors knn and na ve bayes are employed to predict anti inflammatory polymers properties the study finds that the probability of a polymer having anti inflammatory properties is multiplied by three if it is a polycation and that nitric oxide secretion is a good indicator in determining the anti inflammatory properties of a polymer which in this work are defined by tumor necrosis factor alpha expression decrease overall the study suggests that with appropriate dataset design ml techniques can provide valuable information on functional polymer properties enabling faster and more efficient biomaterial development,Machine Learning
Doc_17,existem diversas problem ticas atualmente que influenciam no dia a dia do ser humano dentro da sociedade as principais e mais graves se referem as mudan as clim ticas e desastres naturais que fogem do controle e acabam causando danos que demoram um longo per odo para se normalizar o problema de queimadas no brasil recorrente devido localiza o geogr fica do pa s por m em o cen rio se agravou e foram queimados mais de milh es de hectares milh es de hectares a mais do que fazendo com que a sociedade voltasse suas aten es para este problema gerando discuss es em prol de melhorias atrav s da tecnologia poss vel prever e reduzir um poss vel agravamento de situa es que podem ter um potencial muito grande de devasta o e com este trabalho al m de discutir o problema ser poss vel visualizar o uso de intelig ncia artificial voltado para este cen rio t o importante no pa s atrav s do aprendizado de m quina poss vel identificar focos de queimadas em fotos fazendo com que o monitoramento seja aprimorado e que ocorra a alarmes para uma situa o que pode ser evitada ao final do trabalho o leitor estar por dentro do cen rio atual de queimadas do pa s e tamb m entender as diferentes formas de se aplicar o aprendizado de m quina especialmente no cen rio de identifica o de imagens utilizando yolo,Other
Doc_18,nowadays many platforms provide open educational resources to learners so they must browse and explore several suggested contents to better assimilate their courses to facilitate the selecting task of these resources the present paper proposes an intelligent tutoring system that can access teaching contents available on the web automatically and offers them to learners as additional information sources in doing so the authors highlight the description logic approach and its knowledge representation strength that underwrites the modulization inference and querying about a web ontology language and enhanced traditional tutoring systems architecture using ontologies and description logic to enable them to access various data sources on the web finally this article concludes that the combination of machine learning with the semantic web has provided a supportive study environment and enhanced the schooling conditions within open and distance learning,Machine Learning
Doc_19,background gliomas are common primary malignant brain tumors with glioblastoma gbm being the most aggressive subtype gbm is characterized by high recurrence rates and treatment resistance leading to poor patient outcomes current prognostic models have limited predictive power underscoring the need to elucidate underlying mechanisms and identify novel biomarkers to improve therapeutic strategies and prognostic models methods gene expression and clinical data for gbm and lgg were obtained from the tcga and cgga database while single cell sequencing data from gse were selected from the geo database molecular characteristics of gliomas were revealed through normalization consensus clustering analysis immune scoring cell infiltration analysis and pathway analysis tuba b identified as a key gene through machine learning was incorporated into a nomogram model using multivariate cox regression its functions were validated through qrt pcr in vitro functional assays and mouse xenograft models all data analyses and statistics were performed using r software results consensus clustering of the tcga glioma dataset identified two aggrephagy subtypes c and c with c showing worse survival outcomes and higher immune infiltration tuba b was identified as an independent prognostic marker with high expression associated with upregulated cell cycle pathways and alterations in the immune microenvironment tuba b was shown to influence glioma cell proliferation migration invasion and autophagy impacting tumor progression and treatment response through intercellular communication and metabolic pathways conclusion the study demonstrates that high tuba b expression is closely associated with glioma malignancy and poor prognosis making it a potential therapeutic target,Machine Learning
Doc_20,in the period of digital transformation oil companies have to cope with management of huge volume staff data from different parts company everything from management maintenance engineering and geology to drill teams at heart workers front line standpoint this research presents a complete study of big data accuracy and classification improvement in k means clustering learning kcl management for employees in an oil company data were auto generated according to global standards and technical specifications the data tables for formwork of human resources bars were prepared by file laziness in fact the test kernel used in this research is also based on this data the study focuses on important problems of work such as raising data quality and classification of employees according to various factors including practical experience education levels technical expertise competence achieved in performance evaluations which may change over time or safety training hours our methodology incorporates advanced preprocessing techniques feature engineering and hyper parameter optimization in order to achieve better classification accuracy the experimental results show that the optimized knn algorithm is capable of percent accuracy for employee classification which represents a significant bat improvement over the traditional method this research offers practical lessons for oil companies employing machine learning techniques in human resources management and improved operational efficiency learning and operational efficiency,Machine Learning
Doc_21,abstract background telemedicine is one of the major changes that clinicians have encountered over the past decade in particular during the covid pandemic televisits were rapidly implemented to guarantee patients assistance with the intention of health care providers hcps to continue to use them beyond the pandemic the aim of our national survey was to evaluate the current usage of telemedicine for ibd patients from their perspective investigating patients impressions about telemedicine and factors affecting them through a machine learning ml analysis methods in march the italian ibd patients association amici onlus distributed to their members through its mailing list and on social media platforms an anonymous online questionnaire investigating the use of telemedicine socio demographic and ibd characteristics were collected the usage patients satisfaction and trust of telemedicine were assessed through likert scales ml tools decision trees dt and random forest rf were applied to identify the determinants of patient s perceptions about telemedicine the produced rf ranking displays two indicators incmse and incnodepurity results nine hundred and seventy eight ibd patients women from every italian region completed the questionnaire among the respondents personally had a telemedicine experience reported that their centre performed a telemedicine service during the covid pandemic televisits e mails phone calls dedicated website others overall would trust a telemedicine service would like to have it also with another hcp e g nutritionist psychologist and would like to use telemedicine in the future did not answer to this specific question stated they thought useful to have the possibility to use telemedicine and would like their centre to offer them this facility considering this last question as the output at the dt the variable which have been found to influence the most this patients willingness is patient s perception of the usefulness of telemedicine in treating their disease since it represented the root of the tree explaining the results the rf rankings confirmed that this variable influenced the most patients perception with the highest levels of incmse and incnodepurity figure conclusion the practice of telemedicine in the management of ibd patients has not been very relevant throughout italy so far less than but more than four every five respondents would like to use telemedicine machine learning analysis shows that the perceived usefulness of telemedicine service is the key point for patients who would like it was a part of usual clinical practice,Machine Learning
Doc_22,purpose this study aimed to investigate the performance of multiparametric magnetic resonance imaging mpmri radiomic feature based machine learning ml models in classifying the gleason grade group gg of prostate cancer methods in this retrospective study a total of patients with histopathologically confirmed prostate cancer who underwent mpmri before prostate biopsy were included after manual segmentation radiomic features rfs were extracted from t weighted apparent diffusion coefficient and high b value diffusion weighted magnetic resonance imaging dwmri patients were split into training sets and testing sets according to a ratio of a pipeline considering combinations of two feature selection fs methods and six ml classifiers was developed and evaluated the performance of models was assessed using the accuracy sensitivity precision f measure and the area under curve auc results on high b value dwmri derived features a combination of fs method recursive feature elimination rfe and classifier random forest achieved the highest performance for classification of prostate cancer into five ggs with accuracy sensitivity precision and f measure the method also achieved an average auc for gg of conclusion preoperative mpmri radiomic analysis based on ml as a noninvasive approach showed good performance for classification of prostate cancer into five ggs advances in knowledge herein radiomic models based on preoperative mpmri and ml were developed to classify prostate cancer into ggs our study provides evidence that analysis of quantitative rfs extracted from high b value dwmri images based on a combination of fs method rfe and classifier random forest can be applied for multiclass grading of prostate cancer with an accuracy of,Machine Learning
Doc_23,the prediction of cutting force in boring machining is crucial for understanding cutting deformation tool wear and work piece quality physics based models offer adaptability across various working conditions but struggle with complex dynamic scenarios and real time effectiveness conversely deep learning models while effective in capturing nonlinear relationships are highly data dependent and may lose accuracy in unfamiliar conditions this study proposes a physics enhanced data driven transformer phydt model for real time cutting force prediction integrating physics knowledge with deep learning specifically the phydt leverage the information of both machining parameters and theoretical cutting force calculated using a modified model based on merchant theory and johnson cook constitutive model into a transformer network with time series sensory data as input by incorporating these physics based insights the model aims to balance adaptability and accuracy across different machining conditions offering improved performance in complex scenarios we designed and built a heterogeneous data acquisition platform for boring processes to validate the phydt model under various experimental parameters results show improved prediction accuracy and generalization on an untrained workpiece compared to traditional data driven methods an ablation study shows that incorporating machining physics information and multiscale attention cascaded with convolutional neural networks improves performance reducing mean absolute percentage error to,Machine Learning
Doc_24,abstract the demand for food production is increasing rapidly with a surge in the population to cope with this increasing food demand precise agricultural management is essential the existing techniques involve extensive field surveys for agricultural land discrimination to minimize the man hour efforts and time required by these techniques automated techniques for precise crop type mapping and monitoring have been used these techniques utilize satellite imagery and advanced machine learning techniques for crop type mapping and monitoring however the performance of such techniques is affected by factors such as fragmented land parcels seasonal variability and inconsistent field level observations to overcome these issues this study attempts to classify grape and non grape crops and monitor their phenological stages in the study area in pune district india using sentinel satellite imagery and deep learning dl segmentation techniques u net and deeplabv further sentinel c sar imagery vv and vh polarization for the years to was utilized to train and evaluate a long short term memory network lstm model with an aim to analyze the temporal behavior of the grape crop from pruning to harvesting stage with emphasis on growth stages like leaf set fruit set and ripening the experimental results demonstrate that u net outperforms deeplabv f score map in grape crop classification the lstm model showed performance f score for phenological stage identification this study can help agricultural stakeholders in effective and large scale crop discrimination with minimum human intervention it has the potential to reveal grape distribution and development stages in a faster time,Machine Learning
Doc_25,kidney cancer is known as one of the deadliest cancers with high morbidity and mortality rate survivability from cancers is always the patient s first concern thus methods need to be devised to find the survivability rate to achieve this goal machine learning models are effective at providing aid to clinicians because of their accuracy in this research paper seer surveillance epidemiology and end results database was used to provide information on cancer statistics three different approaches were used in this paper the first experiment used regression models the second included multi class classification models to predict the survivability rate and the third used multi tier classification in the end we achieved accuracy through our models to predict the survivability of a patient,Machine Learning
Doc_26,osteoporosis and fragility play a significant role in the treatment and planning of patients with deformity secondary to osteoporotic vertebral fracture ovf the resulting deformity can present significant challenges for its management both from a medical and surgical perspective the need for a specific classification for these deformities including the potential for the development of artificial intelligence and machine learning in predictive analysis is emerging as a key point in the coming years relevant aspects in preoperative optimization and management of these patients are addressed a classification with therapeutic guidance for the management of spinal deformity secondary to ovf is developed emphasizing the importance of personalized treatment flexibility and sagittal balance are considered key aspects on the other hand we recommend especially with these fragile patients management with minimally invasive techniques to promote rapid recovery and reduce the number of complications,Machine Learning
Doc_27,introduction to analyze public perceptions of active aging in china on mainstream social media platforms to determine whether the th five year plan for the development of the aging career and older adult care system issued by the cpc in has fully addressed public needs methods the original tweets posted on weibo between january and june containing the words aging or old age were extracted a bidirectional encoder representation from transformers bert based model was used to generate themes related to this perception a qualitative thematic analysis and an independent review of the theme labels were conducted by the researchers results the findings indicate that public perceptions revolved around four themes health prevention and protection convenient living environments cognitive health and social integration and protecting the rights and interests of the older adult discussion our study found that although the plan aligns with most of these themes it lacks clear planning for financial security and marital life,Machine Learning
Doc_28,phrase search encryption as an important technique in cloud based iot system allows users to retrieve encrypted iot data that contains a set of consecutive keywords it plays an important role in cloud based e healthcare diagnosis system machine learning applications for cloud based iot system etc however to the best of our knowledge the existing phrase search encryption schemes cannot achieve the complete verification for search results they either cannot verify whether the returned files correctly containing the query phrase or cannot verify whether all files containing this query phrase are returned result verification is very important for some cloud based iot applications if the search result is incorrect in the cloud based e healthcare diagnosis system it will lead to misdiagnosis even endanger the patient s life in order to deal with this problem this article explores how to achieve verifiable phrase search over encrypted cloud based iot data specifically we design novel look up tables which can be utilized to determine and verify the position relationship among keywords meanwhile we adopt a two phase query strategy in the first query phase the data user can know the identifiers of files containing the keywords in the query phrase and generate the search trapdoor based on these identifiers for the next phase in the second query phase the data user can obtain the verification information to check whether all files containing the query phrase are correctly returned we present the security analysis of our scheme and conduct extensive experiments the results prove the high security and efficiency of our proposed scheme,Machine Learning
Doc_29,traffic systems are filled with essential traffic control equipment and can cause massive infrastructural damage and driver safety if hacked we explore a machine learning method to detect real time lock picking to thwart unauthorized access to the electronics we gather accelerometer and gyroscopic data to train a decision tree model for detecting lock picking analysis reveals that a standard deviation feature for only two accelerometer axes is adequate for achieving robust performance we deployed an real time decision tree model to an offsite test cabinet that achieves an accuracy of over,Machine Learning
Doc_30,tailored disaster preparedness interventions may be more effective and equitable yet little is known about specific factors associated with disaster household preparedness for older adults and or those with african american black identities this study aims to ascertain differences in the importance features of machine learning models of household disaster preparedness for four groups to inform culturally tailored intervention recommendations for nursing practice a machine learning model was developed and tested by combining data from the and federal emergency management agency national household survey the primary outcome variable was a composite readiness score a total of variables from participants were included over of the sample self identified as african american black and reported being years of age or older importance features varied regarding financial and insurance preparedness information seeking and transportation between groups these results reiterate the need for targeted interventions to support financial resilience and equitable resource access notably older adults with black racial identities were the only group where tv tv news and the weather channel was a priority feature for household disaster preparedness additionally reliance on public transportation was most important among older adults with black racial identities highlighting priority needs for equity in disaster preparedness and policy,Machine Learning
Doc_31,this cross sectional study aims to detect diabetic retinopathy dr in patients who have had retinal scans and ophthalmological exams the research makes use of tailored retinal images together with the opf optimum path forest and rbm restricted boltzmann machine models to categorize images according to the presence or absence of dr in this work features were extracted from the retinal images using both the rbm and opf models in particular after a thorough system training phase rbm was able to extract between and features from the images the study included fifteen distinct trial series each with thirty cycles of repetition the research comprised eyes or diabetic patients with a gender distribution that was reasonably balanced and an average age of years remarkably the rbm model stood out as the top performer with the highest overall accuracy of in diagnosis in terms of specificity the rbm and opf models surpassed the competition correctly categorizing all images free of dr symptoms these findings highlight the potential of machine learning particularly the rbm model for self identifying illnesses the potential of machine learning models in particular rbm and opf to automate the diagnosis of diabetic retinopathy is demonstrated by this work the results show how well the rbm model diagnoses how sensitive it is and how well it can be applied for efficient dr screening and diagnosis this information may be used to improve the effectiveness of systems that identify retinal illnesses,Machine Learning
Doc_32,artificial intelligence is making a significant transformation in human lives its application in the medical and healthcare field has been also observed making an impact and improving overall outcomes there has been a quest for similar processes in mental health due to the lack of observable changes in the areas of suicide prevention in the last five years there has been an emerging body of empirical research applying the technology of artificial intelligence ai and machine learning ml in mental health to review the clinical applicability of the ai ml based tools in suicide prevention the compelling question of predicting suicidality has been the focus of this research we performed a broad literature search and then identified articles relevant to meet the objectives of this review we review the available evidence and provide a brief overview of the advances in this field in the last five years there has been more evidence supporting the implementation of these algorithms in clinical practice its current clinical utility is limited to using electronic health records and could be highly effective in conjunction with existing tools for suicide prevention other potential sources of relevant data include smart devices and social network sites there are some serious questions about data privacy and ethics which need more attention while developing these new modalities in suicide research,Machine Learning
Doc_33,motivation missense variants play a crucial role in cancer development and distinguishing between those that frequently occur in cancer genomes and those that are rare may provide valuable insights into important functional mechanisms and consequences specifically if common variants confer growth advantages they may have undergone positive selection across different patients due to similar selection pressures moreover studies have demonstrated the significance of rare mutations that arise as resistance mechanisms in response to drug treatment this highlights the importance of understanding the role of both recurrent and rare variants in cancer in addition to this most existing tools for variant prediction focus on distinguishing variants found in normal and disease populations often without considering the specific disease contexts in which these variants arise instead they typically build predictors that generalise across all diseases here we introduce candrivr cs a set of cancer specific gradient boosting models designed to distinguish between rare and recurrent cancer variants results we curated missense variant data from the international cancer genome consortium icgc cancer type specific models significantly outperformed a baseline pan cancer model achieving a maximum leave one group out cross validation logo cv f score of up to for candrivrskcm skin cutaneous melanoma and for candrivr skca skin adenocarcinoma compared to for the baseline model notably dna shape properties consistently ranked among the top features for distinguishing recurrent and rare variants across all cancers specifically recurrent missense variants frequently occurred in dna bends and rolls potentially implicating regions prone to dna replication errors and acting as mutational hotspots availability and implementation all training and test data and python code are available in our candrivr cs github repository https github com amyfrancis candrivr cs,Machine Learning
